,location,html_file,label,latitude,longitude,PM2.5,Site,date and time,date,daily max mean
0,"Letterkenny, Co. Donegal",fig0.html,Station 64,54.954644,-7.734841999999999,96.09,EPA-64,2022-03-14 21:00:00,2022-03-14,60.48374999999999
1,"Davitt Road, Inchicore, Dublin 12",fig1.html,Station 49,53.336258,-6.309002,43.19,EPA-49,2022-03-14 20:00:00,2022-03-14,42.225
2,"Brownes Road, Waterford",fig2.html,Station 59,52.246975,-7.1416460000000015,38.83,EPA-59,2022-03-14 20:00:00,2022-03-14,77.05708333333331
3,Wexford Opera House,fig3.html,Station 63,52.338033,-6.462139,31.38,EPA-63,2022-03-14 20:00:00,2022-03-14,57.5025
4,"Macroom, Co. Cork",fig4.html,Station 67,51.904843,-8.95249,87.17,EPA-67,2022-03-14 21:00:00,2022-03-14,55.59208333333334
5,"Enniscorthy, Co. Wexford",fig5.html,Station 24,52.50049,-6.57034,30.2,EPA-24,2022-03-14 23:00:00,2022-03-14,65.26333333333334
6,"Athlone Civic Centre & Library, Co. Westmeath",fig6.html,Station 70,53.424323,-7.937372,58.3,EPA-70,2022-03-14 20:00:00,2022-03-14,45.50916666666666
7,"Mallow, Co. Cork",fig7.html,Station 82,52.1340485,-8.640705,21.44,EPA-82,2022-03-14 21:00:00,2022-03-14,35.87208333333333
8,"Rathmines, Dublin 6",fig8.html,Station 22,53.322029,-6.267154,30.42,EPA-22,2021-07-15 00:00:00,2021-07-15,36.25833333333333
9,"Ennis, Co. Clare",fig9.html,Station 25,52.843206,-8.989332000000003,131.91,EPA-25,2022-03-14 21:00:00,2022-03-14,99.57333333333332
10,"People's Park, Limerick",fig10.html,Station 39,52.65865600000001,-8.628739,106.76,EPA-39,2022-03-14 22:00:00,2022-03-14,38.62958333333333
11,"Portlaoise, Co. Laois",fig11.html,Station 16,53.036139,-7.288808,22.27,EPA-16,2022-03-14 20:00:00,2022-03-14,33.009166666666665
12,Tipperary Town,fig12.html,Station 66,52.47934,-8.157014,62.34,EPA-66,2022-03-14 20:00:00,2022-03-14,55.41625
13,"Tralee Library, Co. Kerry",fig13.html,Station 71,52.267115,-9.697958,71.84,EPA-71,2022-03-14 22:00:00,2022-03-14,55.09666666666667
14,Longford Town,fig14.html,Station 43,53.725554,-7.791275,51.17,EPA-43,2022-03-14 20:00:00,2022-03-14,71.2666666666667
15,"Naas, Co. Kildare",fig15.html,Station 83,53.218113,-6.659089,40.66,EPA-83,2022-03-14 20:00:00,2022-03-14,38.5575
16,"Henry Street, Limerick",fig16.html,Station 85,52.66129100000001,-8.631649000000001,83.5,EPA-85,2022-03-14 22:00:00,2022-03-14,34.315
17,"Edenderry Library, Co. Offaly",fig17.html,Station 102,53.3425,-7.0475,121.43,EPA-102,2022-03-14 21:00:00,2022-03-14,95.01
18,"Banagher, Co. Offaly",fig18.html,TNO4465,53.190239,-7.986503,15.1,TNO4465,2022-03-14 09:00:00,2022-03-14,23.95333333333333
19,"Leixlip Library, Co. Kildare",fig19.html,Station 106,53.37188199999999,-6.486747,50.96,EPA-106,2022-03-14 21:00:00,2022-03-14,20.50625
