location,PM2.5,Site,date and time,date,daily max mean
"Athlone Civic Centre & Library, Co. Westmeath",58.3,EPA-70,2022-03-14 20:00:00,2022-03-14,45.50916666666666
"Banagher, Co. Offaly",15.1,TNO4465,2022-03-14 09:00:00,2022-03-14,23.95333333333333
"Brownes Road, Waterford",38.83,EPA-59,2022-03-14 20:00:00,2022-03-14,77.05708333333331
"Davitt Road, Inchicore, Dublin 12",43.19,EPA-49,2022-03-14 20:00:00,2022-03-14,42.225
"Edenderry Library, Co. Offaly",121.43,EPA-102,2022-03-14 21:00:00,2022-03-14,95.01
"Ennis, Co. Clare",131.91,EPA-25,2022-03-14 21:00:00,2022-03-14,99.57333333333332
"Enniscorthy, Co. Wexford",30.2,EPA-24,2022-03-14 23:00:00,2022-03-14,65.26333333333334
"Henry Street, Limerick",83.5,EPA-85,2022-03-14 22:00:00,2022-03-14,34.315
"Leixlip Library, Co. Kildare",50.96,EPA-106,2022-03-14 21:00:00,2022-03-14,20.50625
"Letterkenny, Co. Donegal",96.09,EPA-64,2022-03-14 21:00:00,2022-03-14,60.48374999999999
Longford Town,51.17,EPA-43,2022-03-14 20:00:00,2022-03-14,71.2666666666667
"Macroom, Co. Cork",87.17,EPA-67,2022-03-14 21:00:00,2022-03-14,55.59208333333334
"Mallow, Co. Cork",21.44,EPA-82,2022-03-14 21:00:00,2022-03-14,35.87208333333333
"Naas, Co. Kildare",40.66,EPA-83,2022-03-14 20:00:00,2022-03-14,38.5575
"People's Park, Limerick",106.76,EPA-39,2022-03-14 22:00:00,2022-03-14,38.62958333333333
"Portlaoise, Co. Laois",22.27,EPA-16,2022-03-14 20:00:00,2022-03-14,33.009166666666665
"Rathmines, Dublin 6",30.42,EPA-22,2021-07-15 00:00:00,2021-07-15,36.25833333333333
Tipperary Town,62.34,EPA-66,2022-03-14 20:00:00,2022-03-14,55.41625
"Tralee Library, Co. Kerry",71.84,EPA-71,2022-03-14 22:00:00,2022-03-14,55.09666666666667
Wexford Opera House,31.38,EPA-63,2022-03-14 20:00:00,2022-03-14,57.5025
