Site,location,Date,PM2.5,daily max,daily mean,PM10,SO2,Time,Date and Time
EPA-102,"Edenderry, Offaly",2022-02-18,22.7,22.7,6.78,25.64,1.49,08:00:00,2022-02-18 08:00:00
EPA-25,"Ennis, Clare",2022-02-19,28.36,28.36,10.176470588235293,36.46,4.93,16:00:00,2022-02-19 16:00:00
EPA-43,"Longford Town, Longford",2022-02-19,21.51,21.51,5.021176470588236,22.88,,15:00:00,2022-02-19 15:00:00
EPA-59,"Waterford City, Waterford",2022-02-19,8.03,8.03,5.442941176470589,15.08,,11:00:00,2022-02-19 11:00:00
EPA-63,"Wexford Town, Wexford",2022-02-19,12.9,12.9,5.692777777777778,17.48,,17:00:00,2022-02-19 17:00:00
EPA-64,"Letterkenny, Donegal",2022-02-19,27.39,27.39,6.307777777777778,30.39,13.75,17:00:00,2022-02-19 17:00:00
EPA-66,"Tipperary Town, Tipperary",2022-02-19,14.89,14.89,6.686111111111111,24.65,,17:00:00,2022-02-19 17:00:00
EPA-67,"Macroom, Cork",2022-02-19,18.71,18.71,7.852777777777778,22.01,,17:00:00,2022-02-19 17:00:00
EPA-71,"Tralee, Kerry",2022-02-19,15.94,15.94,8.757222222222222,33.04,,09:00:00,2022-02-19 09:00:00
EPA-77,"Sligo Town, Sligo",2021-12-10,6.99,6.99,6.99,15.08,,08:00:00,2021-12-10 08:00:00
