,city,html_file,Latitude,Longitude
0,"Ennis, Clare",fig4.html,52.843206,-8.989332
1,"Letterkenny, Donegal",fig2.html,54.954644,-7.734842
2,"Tralee, Kerry",fig3.html,52.267115,-9.697958
3,"Longford Town, Longford",fig6.html,53.725554,-7.791275
4,"Wexford Town, Wexford",fig8.html,52.338033,-6.462139
5,"Sligo Town, Sligo",fig0.html,54.27296,-8.480431
6,"Tipperary Town, Tipperary",fig1.html,52.47934,-8.157014
7,"Waterford City, Waterford",fig5.html,52.246975,-7.141646
8,"Edenderry, Offaly",fig7.html,53.3425,-7.0475
9,"Macroom, Cork",fig9.html,51.904843,-8.95249
